type,name,notice,furigana
燃やさないごみ,キーボード（楽器、７０㎝以下）,,き
燃やさないごみ,キーボード（パソコン用）,,き
燃やさないごみ,ギターケース（７０㎝超）,,き
燃やさないごみ,キックボード,全体の８０％以上金属のものは、埋立ごみの日の金属へ,き
燃やさないごみ,キッチン収納棚（金属以外、７０㎝以下）,,き
燃やさないごみ,キッチン収納棚（金属製）,,き
燃やさないごみ,杵,,き
燃やさないごみ,脚立（金属以外）,,き
燃やさないごみ,脚立（金属製）,,き
燃やさないごみ,キャスターハンガー（金属以外、７０㎝以下）,,き
燃やさないごみ,キャスターハンガー（金属製）,,き
燃やさないごみ,キャビネット（金属以外、７０㎝以下）,,き
燃やさないごみ,キャビネット（金属製）,,き
燃やさないごみ,キャリアー（車用、金属以外）,７０㎝を超えるルーフボックスは有料粗大ごみ,き
燃やさないごみ,キャリアー（車用、金属製）,,き
燃やさないごみ,急須,,き
燃やさないごみ,給湯器,電池はとる,き
燃やさないごみ,鏡台（７０㎝以下）,,き
燃やさないごみ,きり,先端部を紙で包み「危険」と表示して他のごみと分ける,き
燃やさないごみ,金庫（耐火）,おおむね５５㎏以上のものは市では収集できません　,き
燃やさないごみ,金庫（手提げ）,,き
燃やさないごみ,空気入れ（金属製）,,く
燃やさないごみ,空気清浄機,,く
燃やさないごみ,釘,紙で包み「危険」と表示,く
燃やさないごみ,草刈り機（手動式）,,く
燃やさないごみ,鎖（金属製）,,く
燃やさないごみ,串(金属製）,紙で包み「危険」と表示,く
燃やさないごみ,口紅の容器（金属製）,,く
燃やさないごみ,くつ（スキーブーツ・スケート靴）,,く
燃やさないごみ,くつのスパイク（金属製）,,く
燃やさないごみ,クッキングヒーター,,く
燃やさないごみ,クッション（７０㎝超）,,く
燃やさないごみ,グランドゴルフスティック,,く
燃やさないごみ,グリル鍋（金属以外）,,く
燃やさないごみ,グリル鍋（金属製）,,く
燃やさないごみ,車(幼児用）（金属製または電動製）,電池で動くものは、電池をとる。,く
燃やさないごみ,車(幼児用）（「金属製または電動製」以外・７０㎝超),,く
燃やさないごみ,車椅子（折りたたみ式・電動式）,電動式はバッテリーを外す,く
燃やさないごみ,グローランプ,,く
燃やさないごみ,くわ（鍬）,,く
燃やさないごみ,蛍光灯（本体）,,け
燃やさないごみ,携帯電話,販売店に引き取りを依頼してください,け
燃やさないごみ,ゲートボールスティック,,け
燃やさないごみ,ケーブル,,け
燃やさないごみ,ケーブルテレビ用セットトップボックス,レンタルの場合は、借りたお店に返却してください,け
燃やさないごみ,ゲーム機（ＴＶゲーム・ポケットゲーム）,,け
燃やさないごみ,ゲーム用コントローラー,,け
燃やさないごみ,化粧品のガラスびん,,け
燃やさないごみ,化粧容器（金属製）,,け
燃やさないごみ,げた箱（金属製）,増改築に伴うものは請け負った業者に処分してもらう,け
燃やさないごみ,血圧計（デジタル式）,電池はとる,け
燃やさないごみ,健康増進器具（金属以外）,プラスチック製、ゴム製のものは燃やすごみ、電動のものは埋立ごみの日の金属へ,け
燃やさないごみ,健康増進器具（金属製）,,け
燃やさないごみ,剣道用具（竹刀、７０㎝超）,,け
燃やさないごみ,剣道用具（面）,,け
燃やさないごみ,碁石,,こ
燃やさないごみ,公衆用ＰＨＳ端末,,こ
燃やさないごみ,コード,,こ
燃やさないごみ,コートハンガー（金属製）,,こ
燃やさないごみ,コーヒーメーカー,,こ
燃やさないごみ,こたつ（７０㎝以下）,,こ
燃やさないごみ,コップ（ガラス製）,,こ
燃やさないごみ,琴,,こ
燃やさないごみ,粉々のびん,,こ
燃やさないごみ,碁盤（厚さ１０㎝以上）,,こ
燃やさないごみ,コピー機（家庭用）,,こ
燃やさないごみ,ごみ箱(金属製）,,こ
燃やさないごみ,ゴムホース（７０㎝超）,伸ばしたときに７０㎝を超えているものは、埋立ごみ,こ
燃やさないごみ,ゴムボート,空気を抜いて,こ
燃やさないごみ,米びつ（金属製）,,こ
燃やさないごみ,コルクボード（７０㎝超）,,こ
燃やさないごみ,ゴルフクラブ,カーボン製は埋立ごみ,こ
燃やさないごみ,ゴルフバック,,こ
燃やさないごみ,コンパクト,,こ
燃やさないごみ,コンポスト容器（７０㎝超）,,こ
燃やさないごみ,コンロ（バーベキュー用）,,こ
燃やさないごみ,サイクリングマシン（「金属以外、７０㎝超」以外）,,さ
燃やさないごみ,座いす（金属以外、７０㎝以下）,,さ
燃やさないごみ,座いす（金属製）,,さ
燃やさないごみ,サイドボード（７０㎝以下）,,さ
燃やさないごみ,裁縫箱（金属製）,,さ
燃やさないごみ,さしこ（竹製鳥かご、７０㎝超）,,さ
燃やさないごみ,サッシ（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,さ
燃やさないごみ,サッシ（金属製）,増改築に伴うものは請け負った業者に処分してもらう　　,さ
燃やさないごみ,座ぶとん（７０㎝超）,,さ
燃やさないごみ,皿,,さ
燃やさないごみ,三角コーナー（金属製）,,さ
燃やさないごみ,三脚（カメラ、ビデオ）（金属以外）,,さ
燃やさないごみ,三脚（カメラ、ビデオ）（金属製）,,さ
燃やさないごみ,サングラス,レンズがプラスチック製のものは、燃やすごみ,さ
燃やさないごみ,さんご,,さ
燃やさないごみ,三輪車,「不用品」と必ず表示,さ
燃やさないごみ,CSデジタルアンテナ,,し
燃やさないごみ,CSデジタルチューナー,,し
燃やさないごみ,ＣＤプレーヤー,,し
燃やさないごみ,ＣＤラジカセ,,し
燃やさないごみ,シーツ（７０㎝超）,１辺７０ｃｍ以下に裁断すれば、燃やすごみ,し
燃やさないごみ,シート（車）,,し
燃やさないごみ,磁気マットレス（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,し
燃やさないごみ,磁石,,し
燃やさないごみ,七輪,,し
燃やさないごみ,自転車,「不用品」と必ず表示,し
燃やさないごみ,自転車（電動アシスト付き）,「不用品」と必ず表示・バッテリーは、リサイクル協力店へ,し
燃やさないごみ,自動車カバー（７０㎝超）,１辺７０ｃｍ以下に裁断すれば、燃やすごみ,し
燃やさないごみ,竹刀（７０㎝超）,,し
燃やさないごみ,蛇口,,し
燃やさないごみ,ジャッキ,,し
燃やさないごみ,ジャングルジム（子ども用遊具）,パイプがプラスチック製または紙製でかつ７０㎝以下ものは燃やすごみ,し
燃やさないごみ,シャンデリア（７０㎝以下）,電球は外す,し
燃やさないごみ,シャンプードレッサー（７０㎝以下）,,し
燃やさないごみ,ジューサー,,し
燃やさないごみ,シューズボックス（金属製）,増改築に伴うものは請け負った業者に処分してもらう,し
燃やさないごみ,収納ケース・箱・ボックス（金属製）,,し
燃やさないごみ,収納棚（金属製）,,し
燃やさないごみ,将棋盤（厚さ１0㎝以上）,,し
燃やさないごみ,障子（金属製）,増改築に伴うものは請け負った業者に処分してもらう,し
燃やさないごみ,浄水器,,し
燃やさないごみ,照明器具（「金属以外、７０㎝超」以外）,電球は外す,し
燃やさないごみ,照明器具のかさ（ガラス製）,,し
燃やさないごみ,照明器具のかさ（金属製）,,し
燃やさないごみ,じょうろ(金属製）,,し
燃やさないごみ,書棚（金属製）,,し
燃やさないごみ,食器（ガラス製・陶磁器製）,,し
燃やさないごみ,食器（金属製）,,し
燃やさないごみ,食器洗い乾燥機,,し
燃やさないごみ,食器洗い器,,し
燃やさないごみ,食器乾燥機,,し
燃やさないごみ,食器棚（７０㎝以下）,,し
燃やさないごみ,ショッピングカート(金属製）,,し
燃やさないごみ,書類用バインダーの金具,,し
燃やさないごみ,シルバーカー,「不用品」と必ず表示,し
燃やさないごみ,人工芝（７０㎝超）,,し
燃やさないごみ,水槽（７０㎝以下）,,す
燃やさないごみ,水中めがね,レンズがプラスチック製のものは、燃やすごみ,す
燃やさないごみ,水筒（金属製）,,す
燃やさないごみ,炊飯器（内釜含む）,,す
燃やさないごみ,スーツケース（金属製）,,す
燃やさないごみ,姿見（７０㎝以下）,,す
燃やさないごみ,スキー板（７０㎝以下）,,す
燃やさないごみ,スキーキャリア（金属以外）,,す
燃やさないごみ,スキーキャリア（金属製）,,す
燃やさないごみ,スキャナー,,す
燃やさないごみ,スケートボード,,す
燃やさないごみ,スコップ（金属製）,,す
燃やさないごみ,硯（すずり）,,す
燃やさないごみ,すだれ（竹製・プラスチック製・７０㎝超）,１辺７０㎝以下に裁断すれば、燃やすごみ,す
燃やさないごみ,スタンドミラー（７０㎝以下）,,す
燃やさないごみ,ステレオセット（７０㎝以下）,,す
燃やさないごみ,ストーブ,,す
燃やさないごみ,ストーブガード,,す
燃やさないごみ,スノーダンプ（金属以外・７０㎝超）,,す
燃やさないごみ,スノーダンプ（金属製）,,す
燃やさないごみ,スノーボード（７０㎝以下）,,す
燃やさないごみ,すのこ（７０㎝超）,,す
燃やさないごみ,スピーカー（７０㎝以下）,,す
燃やさないごみ,スプーン（金属製）,,す
燃やさないごみ,ズボンプレッサー（７０㎝以下）,,す
燃やさないごみ,スリッパ立て（金属以外・７０㎝超）,,す
燃やさないごみ,スリッパ立て（金属製）,,す
燃やさないごみ,すり鉢,,す
燃やさないごみ,精米機（家庭用）,,せ
燃やさないごみ,石油ストーブ,油を抜いて電池を取る,せ
燃やさないごみ,石油タンク,油は抜く,せ
燃やさないごみ,石油ポンプ（電動式）,電池はとる,せ
燃やさないごみ,洗濯ばさみ（金属製）,,せ
燃やさないごみ,洗濯用ハンガー（金属製）,,せ
燃やさないごみ,栓抜き（金属以外）,,せ
燃やさないごみ,栓抜き（金属製）,,せ
燃やさないごみ,扇風機（７０㎝以下）,,せ
燃やさないごみ,洗面器（金属製）,,せ
燃やさないごみ,洗面化粧台（７０㎝以下）,増改築に伴うものは請け負った業者に処分してもらう,せ
燃やさないごみ,双眼鏡,,そ
燃やさないごみ,掃除機,,そ
燃やさないごみ,ソファー（７０㎝以下・スプリングあり）,,そ
燃やさないごみ,ソファーベッド（７０㎝以下・スプリングあり）,,そ
燃やさないごみ,体温計（水銀を含まない）,電池はとる,た
燃やさないごみ,体重計(家庭用）,,た
燃やさないごみ,耐火金庫,おおむね５５㎏以上のものは市では収集できません,た
燃やさないごみ,台車,,た
燃やさないごみ,タイヤチェーン（金属製）,,た
燃やさないごみ,タイヤホイール,,た
燃やさないごみ,高枝切りばざみ（金属以外）,,た
燃やさないごみ,高枝切りばさみ（金属製）,,た
燃やさないごみ,竹馬（金属製）,,た
燃やさないごみ,竹馬（竹・木製、７０㎝超）,,た
燃やさないごみ,竹ぼうき（７０㎝超）,,た
燃やさないごみ,たらい(金属製）,,た
燃やさないごみ,たる（７０㎝超）,,た
燃やさないごみ,たわし(金属製）,,た
燃やさないごみ,ダンベル（金属製）,,た
燃やさないごみ,チェーン（金属製）,,ち
燃やさないごみ,地球儀,,ち
燃やさないごみ,地上デジタルチューナー,,ち
燃やさないごみ,チャイルドシート,,ち
燃やさないごみ,茶碗,,ち
燃やさないごみ,チューナー,,ち
燃やさないごみ,調理台（７０㎝以下）,増改築に伴うものは請け負った業者に処分してもらう,ち
燃やさないごみ,ちりとり（金属製）,,ち
燃やさないごみ,ついたて（金属製）,,つ
燃やさないごみ,使い捨てカイロ,,つ
燃やさないごみ,机（金属製）,,つ
燃やさないごみ,漬けもの石（市販のもの）,,つ
燃やさないごみ,漬けもの桶,７０㎝以下なら燃やすごみ,つ
燃やさないごみ,つぼ,,つ
燃やさないごみ,釣りざお,,つ
燃やさないごみ,つるはし,,つ
燃やさないごみ,DVDプレーヤー,,て
燃やさないごみ,ディスプレイ（パソコン以外）,,て
燃やさないごみ,テーブル（金属製）,,て
燃やさないごみ,テープレコーダー,,て
燃やさないごみ,手押し車,「不用品」と必ず表示,て
燃やさないごみ,手鏡,,て
燃やさないごみ,手提げ金庫,,て
燃やさないごみ,デジタルカメラ,電池はとる,て
燃やさないごみ,デジタル血圧計,電池はとる,て
燃やさないごみ,鉄アレイ,,て
燃やさないごみ,鉄板（バーベキュー用）,,て
燃やさないごみ,鉄棒（子ども用遊具）,,て
燃やさないごみ,テニスラケット,,て
燃やさないごみ,テレビゲーム,,て
燃やさないごみ,テレビ台（金属製）,,て
燃やさないごみ,電気アンカ,,て
燃やさないごみ,電気カーペット（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,て
燃やさないごみ,電気かみそり,,て
燃やさないごみ,電気コード,,て
燃やさないごみ,電気こたつ（７０㎝以下）,,て
燃やさないごみ,電気炊飯器（内釜含む）,,て
燃やさないごみ,電気スタンド（「金属以外、７０㎝超」以外）,,て
燃やさないごみ,電気ストーブ,,て
燃やさないごみ,電気のこぎり,,て
燃やさないごみ,電気ポット,,て
燃やさないごみ,電気毛布（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,て
燃やさないごみ,電球,,て
燃やさないごみ,電気ランタン,電池は取る,て
燃やさないごみ,電子辞書,,て
燃やさないごみ,電磁調理器,,て
燃やさないごみ,電子手帳,,て
燃やさないごみ,電子レンジ,,て
燃やさないごみ,天体望遠鏡,,て
燃やさないごみ,電卓,,て
燃やさないごみ,テント（レジャー用）,,て
燃やさないごみ,点灯管,,て
燃やさないごみ,電動かんな,,て
燃やさないごみ,電動自転車,「不用品」と必ず表示・バッテリーは、リサイクル協力店へ　,て
燃やさないごみ,電動ドリル,,て
燃やさないごみ,電動のこぎり,,て
燃やさないごみ,テントの支柱（レジャー用、金属製）,,て
燃やさないごみ,電話機,,て
燃やさないごみ,電話台,,て
燃やさないごみ,ドア（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,と
燃やさないごみ,ドア（金属製）,増改築に伴うものは請け負った業者に処分してもらう,と
燃やさないごみ,砥石,,と
燃やさないごみ,陶器製食器（湯飲み・茶碗・皿など）,,と
燃やさないごみ,灯油缶（プラスチック製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
燃やさないごみ,灯油缶（金属製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
燃やさないごみ,トースター,,と
燃やさないごみ,時計（壁掛け・目覚まし・腕）,,と
燃やさないごみ,戸棚（金属製）,,と
燃やさないごみ,トタン板,,と
燃やさないごみ,ドライバー,全体の８０％以上金属のものは、埋立ごみの日の金属へ,と
燃やさないごみ,ドラム缶（あき缶）,,と
燃やさないごみ,トランク（金属製）,,と
燃やさないごみ,トランシーバー,,と
燃やさないごみ,トランポリン（子ども用遊具）,,と
燃やさないごみ,鳥かご（金属製）,,と
燃やさないごみ,塗料容器（金属製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
燃やさないごみ,トレーニング機器（金属以外・７０㎝以下）,プラスチック製、ゴム製のものは燃やすごみ、電動のものは埋立ごみの日の金属へ,と
燃やさないごみ,トレーニング機器（金属製）,,と
燃やさないごみ,ドレッサー（７０㎝以下）,,と
燃やさないごみ,トロフィー,プラスチック製のものは、燃やすごみ,と
燃やさないごみ,ナイフ,刃を紙で包み「危険」と表示して、他のごみと分ける,な
燃やさないごみ,流し台（７０㎝以下）,,な
燃やさないごみ,ながもち（７０㎝以下）,,な
燃やさないごみ,ナタ（鉈）,刃を紙で包み「危険」と表示して他のごみと分ける,な
燃やさないごみ,ナツメ球,,な
燃やさないごみ,鍋（金属製）,,な
燃やさないごみ,鍋（耐熱ガラス製）,,な
燃やさないごみ,生ごみ処理機(家庭用・電気式）,,な
燃やさないごみ,なまり（釣り用おもり）,,な
燃やさないごみ,波板（金属製）,,な
燃やさないごみ,荷造り用ひもバンド（７０㎝超）,７０㎝以下に裁断すれば、燃やすごみ,に
燃やさないごみ,日本人形ケース,,に
燃やさないごみ,庭池,,に
燃やさないごみ,人形（ぬいぐるみ、７０㎝超）,,に
燃やさないごみ,人形ケース,,に
燃やさないごみ,ぬいぐるみ（７０㎝超）,,ぬ
燃やさないごみ,猫砂（粘土製）,,ね
燃やさないごみ,寝袋（７０㎝超）,,ね
燃やさないごみ,ねんど（学用品）,,ね
燃やさないごみ,農薬のびん（家庭菜園用）,中身が残っているものは市で収集できないので専門業者に処分を依頼,の
燃やさないごみ,のこぎり,,の
燃やさないごみ,ノブ（ドア）,,の
燃やさないごみ,のみ（鑿）,,の
燃やさないごみ,海苔の缶（２５㎝以上）,,の
燃やさないごみ,ハードディスクドライブ（ＨＤＤ）,,は
燃やさないごみ,バーベキューコンロ,,は
燃やさないごみ,バーベル,,は
燃やさないごみ,ハーモニカ,,は
燃やさないごみ,灰皿（ガラス製・陶器製）,,は
燃やさないごみ,パイプいす（金属製）,,は
燃やさないごみ,はかり（料理用）,,は
燃やさないごみ,剥製（はくせい）,,は
燃やさないごみ,白熱球,,は
燃やさないごみ,バケツ（金属製）,,は
燃やさないごみ,はさみ（金属以外）,,は
燃やさないごみ,はさみ（金属製）,,は
燃やさないごみ,はしご（金属製）,,は
燃やさないごみ,柱時計,,は
燃やさないごみ,バスケットゴール（金属製）,,は
燃やさないごみ,パソコン机（金属製）,,は
燃やさないごみ,パソコン用キーボード,,は
燃やさないごみ,パソコン用プリンター,,は
燃やさないごみ,パソコン用ラック（金属製）,,は
燃やさないごみ,パチンコ・スロット台（個人用）,,は
燃やさないごみ,バット（木製、７０㎝超）,,は
燃やさないごみ,バット（金属製）,,は
燃やさないごみ,花台（金属以外、７０㎝超）,,は
燃やさないごみ,花台（金属製）,,は
燃やさないごみ,パネルヒーター,,は
燃やさないごみ,歯ブラシ（電動）,電池はとる,は
燃やさないごみ,針,紙で包み「危険」と表示,は
燃やさないごみ,針金,,は
燃やさないごみ,ハロゲンストーブ,,は
燃やさないごみ,ハンガー（金属製）,,は
燃やさないごみ,ハンガースタンド（金属製）,,は
燃やさないごみ,飯ごう,,は
燃やさないごみ,パンツプレス（７０㎝以下）,,は
燃やさないごみ,ハンドヘルドゲーム,,は
燃やさないごみ,ハンマー（金属製）,,は
燃やさないごみ,ハンマー（木製、７０㎝超）,,は
燃やさないごみ,ＰＰバンド（７０㎝超）,７０㎝以下に裁断すれば、燃やすごみ,ひ
燃やさないごみ,ビーチパラソル,,ひ
燃やさないごみ,ビー玉,,ひ
燃やさないごみ,ひげそり（手動式）,刃を紙で包み「危険」と表示して他のごみと分ける,ひ
燃やさないごみ,ひげそり（電気式）,電池はとる,ひ
燃やさないごみ,ＶＩＣＳ（ビックス）ユニット,,ひ
燃やさないごみ,ビデオカメラ,電池はとる,ひ
燃やさないごみ,ビデオデッキ,,ひ
燃やさないごみ,ビニールシート（家庭菜園用）,,ひ
燃やさないごみ,ビニールホース,,ひ
燃やさないごみ,ビニールロッカー（７０㎝以下）,,ひ
燃やさないごみ,火鉢,,ひ
燃やさないごみ,百円ライター,ガスを使い切って,ひ
燃やさないごみ,ファクシミリ,,ふ
燃やさないごみ,ファンシーケース（金属製）,,ふ
燃やさないごみ,ファンヒーター,油を抜いて電池を取る,ふ
燃やさないごみ,フォーク（金属製）,刃を紙で包み「危険」と表示して、他のごみと分ける,ふ
燃やさないごみ,フォトプリンター,,ふ
燃やさないごみ,仏壇（７０㎝以下）,,ふ
燃やさないごみ,筆箱（金属製）,,ふ
燃やさないごみ,ふとん乾燥機,,ふ
燃やさないごみ,ふとんたたき（金属製）,,ふ
燃やさないごみ,フライパン,,ふ
燃やさないごみ,ブラインド（金属以外）,１辺７０㎝以下に裁断すれば、燃やすごみ,ふ
燃やさないごみ,ブラインド（金属製）,,ふ
燃やさないごみ,プラグ・ジャック,,ふ
燃やさないごみ,ぶらさがり健康器,全体の８０％以上金属のものは、埋立ごみの日の金属へ,ふ
燃やさないごみ,フラワースタンド（金属製）,,ふ
燃やさないごみ,ブランコ（金属製）,,ふ
燃やさないごみ,プリンター,,ふ
燃やさないごみ,ブルーレイディスクレコーダー/プレーヤー,,ふ
燃やさないごみ,プレーヤー,,ふ
燃やさないごみ,フロアスタンド（「金属以外、７０㎝超」以外）,,ふ
燃やさないごみ,風呂がま,増改築に伴うものは請け負った業者に処分してもらう,ふ
燃やさないごみ,プロジェクター,,ふ
燃やさないごみ,風呂のふた,７０㎝以下に切れば燃やすごみ,ふ
燃やさないごみ,噴霧器（園芸用）,,ふ
燃やさないごみ,文鎮（金属以外）,,ふ
燃やさないごみ,文鎮（金属製）,,ふ
燃やさないごみ,ヘアードライヤー,,へ
燃やさないごみ,ヘアーブラシ（金属製）,,へ
燃やさないごみ,ベッド（金属製）,,へ
燃やさないごみ,ペット小屋（金属製）,,へ
燃やさないごみ,ヘッドホン,,へ
燃やさないごみ,ベビーカー（７０㎝以下）,,へ
燃やさないごみ,ベビーシート,,へ
燃やさないごみ,ベビーチェアー,,へ
燃やさないごみ,ベビーベッド（金属製）,,へ
燃やさないごみ,ベビーラック,,へ
燃やさないごみ,ベランダ収納庫（金属製）,,へ
